Keyword,Position,Previous position,Search Volume,Keyword Difficulty,CPC,URL,Traffic,Traffic (%),Traffic Cost,Competition,Number of Results,Trends,Timestamp,SERP Features by Keyword,Keyword Intents,Position Type
restoration companies near me,1,0,9900,78,28.45,https://totalcarerestoration.com/how-long-does-property-restoration-take/,173,16.44,4921.00,0.68,142000000,"[66,66,54,44,44,44,54,54,81,81,66,66]",2025-12-23,"Local pack, Sitelinks, Video, Ads bottom, People also ask, Related searches",transactional,People also ask
fire damage inspection,1,1,880,30,8.01,https://totalcarerestoration.com/,116,11.02,929.00,0.22,50300000,"[1,1,1,20,31,52,52,68,84,84,100,52]",2025-12-19,"Local pack, Video, Video Carousel, People also ask, Related searches, AI overview",commercial,Local pack
total care restoration,1,1,140,41,6.96,https://totalcarerestoration.com/,112,10.64,779.00,0.11,127000000,"[80,52,80,42,52,66,80,80,80,80,100,80]",2025-12-21,"Local pack, Sitelinks, Video, People also ask, Related searches",navigational,Organic
city of sunrise restoration companies,3,3,1000,10,0.00,https://totalcarerestoration.com/sunrise-restoration-services/,82,7.79,0.00,0,5560000,[100],2025-09-19,"Local pack, Image pack, Sitelinks, Video, Featured snippet, Image, People also ask, Related searches",commercial,Organic
fire damage inspection,1,1,880,30,8.01,https://totalcarerestoration.com/fire-damage-inspection-steps/,53,5.03,424.00,0.22,50300000,"[1,1,1,20,31,52,52,68,84,84,100,52]",2025-12-19,"Local pack, Video, Video Carousel, People also ask, Related searches, AI overview",commercial,AI overview
cast iron pipe replacement,3,3,590,1,11.72,https://totalcarerestoration.com/cast-iron-pipes/,38,3.61,445.00,0.42,21000000,"[20,20,10,30,24,45,36,36,30,100,100,55]",2025-12-08,"Image pack, Sitelinks, Video, Video Carousel, Popular products, Related searches, AI overview",informational,Organic
cast iron pipe replacement,1,1,590,1,11.72,https://totalcarerestoration.com/cast-iron-pipes/,35,3.32,410.00,0.42,21000000,"[20,20,10,30,24,45,36,36,30,100,100,55]",2025-12-08,"Image pack, Sitelinks, Video, Video Carousel, Popular products, Related searches, AI overview",informational,AI overview
early signs of mold on drywall,1,1,480,20,2.16,https://totalcarerestoration.com/tell-mold-behind-walls/,29,2.75,62.00,0.02,963000,"[54,44,44,54,44,44,44,44,54,67,100,44]",2025-12-08,"Image pack, Sitelinks, Video, Image, Video Carousel, People also ask, Related searches, Discussions and forums, AI overview",informational,AI overview
best soot removal services,1,1,110,7,0.00,https://totalcarerestoration.com/top-5-soot-cleaning-services/,27,2.56,0.00,0,10,"[52,52,52,52,82,100]",2025-11-17,"Local pack, Sitelinks, Video, Featured snippet, Ads bottom, People also ask, Related searches, Discussions and forums",commercial,Organic
professional tarping services,3,3,390,12,0.00,https://totalcarerestoration.com/services/roof-tarping/,25,2.37,0.00,0,9,"[15,28,66,66,66,81,100,100,44]",2025-11-24,"Local pack, Video, Ads bottom, Related searches, AI overview",informational,Organic
will florida be underwater in 2025,1,1,390,26,0.00,https://totalcarerestoration.com/the-2025-miami-flood-we-thought-about/,23,2.18,0.00,0,8,"[100,20,16,20,13,7,8,10,8,5,4,4]",2025-11-24,"Image pack, Sitelinks, Video, Image, Related searches, AI overview",informational,AI overview
